"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"STOREY","0","0","0","0","0","0","0","0","0","0"
"PC_DM","0","0","0","0","0","0","0","0","0","0"
"HYB_PC_STO","0","0","0","0","0","0","0","0","0","0"
"PC_QUAD","0","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0","0"
"HYB_Quad_Storey","0","0","0","0","0","0","0","0","0","0"
"raw_BH","0","0","0","0","0","0","0","0","0","0"
"oracle_adaptive_BH","1","1","1","0","0","0","0","0","0","0"
"STOREY","0","0","0","0","0","0","1","0","0","0"
"PC_DM","0","0","0","0","0","0","1","0","0","0"
"HYB_PC_STO","0","0","0","0","0","0","1","0","0","0"
"PC_QUAD","0","0","0","0","0","0","1","0","0","0"
"PC_ZZD","0","0","0","0","0","0","1","0","0","0"
"HYB_Quad_Storey","0","0","0","0","0","0","1","0","0","0"
"raw_BH","0","0","0","0","0","0","1","0","0","0"
"oracle_adaptive_BH","0","1","0","0","0","0","1","0","0","0"
"STOREY","0","0","0","0","0","0","0","0","0","0"
"PC_DM","0","0","0","0","0","0","0","0","0","0"
"HYB_PC_STO","0","0","0","0","0","0","0","0","0","0"
"PC_QUAD","0","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0","0"
"HYB_Quad_Storey","0","0","0","0","0","0","0","0","0","0"
"raw_BH","0","0","0","0","0","0","0","0","0","0"
"oracle_adaptive_BH","1","0","1","0","0","0","0","0","0","0"
"STOREY","0","0","0","0","0","0","0","0","0","0"
"PC_DM","0","0","0","0","0","0","0","0","0","0"
"HYB_PC_STO","0","0","0","0","0","0","0","0","0","0"
"PC_QUAD","0","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0","0"
"HYB_Quad_Storey","0","0","0","0","0","0","0","0","0","0"
"raw_BH","0","0","0","0","0","0","0","0","0","0"
"oracle_adaptive_BH","1","0","0","0","0","0","0","0","0","0"
"STOREY","0","0","0","0","0","0","0","0","0","1"
"PC_DM","0","0","0","0","0","0","0","0","0","1"
"HYB_PC_STO","0","0","0","0","0","0","0","0","0","1"
"PC_QUAD","0","0","0","0","0","0","0","0","0","1"
"PC_ZZD","0","0","0","0","0","0","0","0","0","1"
"HYB_Quad_Storey","0","0","0","0","0","0","0","0","0","1"
"raw_BH","0","0","0","0","0","0","0","0","0","1"
"oracle_adaptive_BH","0","0","0","0","0","0","0","0","0","1"
"STOREY","0","0","0","0","0","0","0","0","1","0"
"PC_DM","0","0","0","0","0","0","0","0","1","0"
"HYB_PC_STO","0","0","0","0","0","0","0","0","1","0"
"PC_QUAD","0","0","0","0","0","0","0","0","1","0"
"PC_ZZD","0","0","0","0","0","0","0","0","1","0"
"HYB_Quad_Storey","0","0","0","0","0","0","0","0","1","0"
"raw_BH","0","0","0","0","0","0","0","0","1","0"
"oracle_adaptive_BH","5","0","0","0","0","0","0","0","1","0"
"STOREY","0","0","0","1","0","0","0","0","0","0"
"PC_DM","0","0","0","1","0","0","0","0","0","0"
"HYB_PC_STO","0","0","0","1","0","0","0","0","0","0"
"PC_QUAD","0","0","0","1","0","0","0","0","0","0"
"PC_ZZD","0","0","0","1","0","0","0","0","0","0"
"HYB_Quad_Storey","0","0","0","1","0","0","0","0","0","0"
"raw_BH","0","0","0","1","0","0","0","0","0","0"
"oracle_adaptive_BH","0","1","0","1","0","0","2","0","0","0"
"STOREY","0","0","0","0","0","0","0","0","0","0"
"PC_DM","0","0","0","0","0","0","0","0","0","0"
"HYB_PC_STO","0","0","0","0","0","0","0","0","0","0"
"PC_QUAD","0","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0","0"
"HYB_Quad_Storey","0","0","0","0","0","0","0","0","0","0"
"raw_BH","0","0","0","0","0","0","0","0","0","0"
"oracle_adaptive_BH","0","0","0","0","0","0","0","0","0","0"
"STOREY","0","0","0","0","0","0","0","0","0","0"
"PC_DM","0","0","0","0","0","0","0","0","0","0"
"HYB_PC_STO","0","0","0","0","0","0","0","0","0","0"
"PC_QUAD","0","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0","0"
"HYB_Quad_Storey","0","0","0","0","0","0","0","0","0","0"
